Formula,E_g_Exp,Source,Priority,frac f valence electrons,cohesive energy (MP),MagpieData range GSbandgap,MagpieData mode Row,MagpieData mode MeltingT,F fraction,Al fraction,MagpieData avg_dev Row,MagpieData mode NfUnfilled,Pm fraction,Cr fraction,MagpieData minimum Electronegativity,Fr fraction,Bk fraction,La fraction,MagpieData mean GSmagmom,B fraction,Cf fraction,MagpieData mean NdValence,MagpieData mean NfValence,Sb fraction,MagpieData avg_dev MeltingT,Md fraction,maximum EN difference,MagpieData minimum MendeleevNumber,MagpieData minimum NsUnfilled,Si fraction,MagpieData maximum Number,Tl fraction,P fraction,Li fraction,Ca fraction,MagpieData avg_dev AtomicWeight,Ar fraction,Gd fraction,MagpieData avg_dev NpValence,range oxidation state,A_site_weight,Y fraction,avg d valence electrons,MagpieData mode NfValence,C fraction,MagpieData avg_dev NfValence,MagpieData maximum GSbandgap,MagpieData mean NpUnfilled,minimum EN difference,Sc fraction,Ti fraction,MagpieData mean MeltingT,Rb fraction,Ba fraction,Pb fraction,MagpieData maximum NpUnfilled,Mg fraction,(u+t)n,mean EN difference,MagpieData mode Electronegativity,minimum oxidation state,MagpieData avg_dev NdUnfilled,pretty_formula,MagpieData maximum NpValence,MagpieData mode NpValence,MagpieData range Electronegativity,MagpieData mean CovalentRadius,dist from 3 clusters |APE| < 0.010,mean Column,Zn fraction,range EN difference,Re fraction,N fraction,MagpieData minimum NUnfilled,Ho fraction,MagpieData minimum NValence,Am fraction,MagpieData mode SpaceGroupNumber,MagpieData mean Row,MagpieData minimum MeltingT,avg anion electron affinity,MagpieData mean MendeleevNumber,MagpieData avg_dev NpUnfilled,MagpieData mode AtomicWeight,Sr fraction,Yb fraction,MagpieData mode NValence,MagpieData minimum CovalentRadius,No fraction,MagpieData range Number,MagpieData avg_dev NsValence,MagpieData maximum MendeleevNumber,MagpieData minimum Number,MagpieData mode Number,Ra fraction,Zr fraction,range Number,A_site_affinity,MagpieData mean SpaceGroupNumber,Mn fraction,Nb fraction,Tb fraction,MagpieData mean NdUnfilled,MagpieData maximum Row,At fraction,avg f valence electrons,Se fraction,MagpieData range Column,MagpieData mean AtomicWeight,Ru fraction,Rn fraction,MagpieData range NfUnfilled,MagpieData mean Number,MagpieData minimum GSvolume_pa,MagpieData mean NpValence,Pa fraction,MagpieData maximum AtomicWeight,MagpieData maximum GSmagmom,std_dev EN difference,Er fraction,Ga fraction,mean Electronegativity,MagpieData mean Column,Nd fraction,MagpieData range CovalentRadius,MagpieData range Row,frac s valence electrons,mean AtomicWeight,dist from 5 clusters |APE| < 0.010,MagpieData mean GSvolume_pa,Dy fraction,As fraction,Xe fraction,MagpieData maximum NValence,Hg fraction,MagpieData maximum NsUnfilled,Ir fraction,range AtomicRadius,MagpieData minimum NsValence,X_site_fir_ionization_energy,MagpieData maximum MeltingT,Na fraction,In fraction,Sm fraction,MagpieData maximum GSvolume_pa,MagpieData range NUnfilled,Cl fraction,MagpieData maximum Electronegativity,MagpieData mode NsUnfilled,Co fraction,mean Row,MagpieData mode CovalentRadius,Kr fraction,W fraction,MagpieData mode NUnfilled,U fraction,Eu fraction,MagpieData avg_dev MendeleevNumber,MagpieData range NsValence,MagpieData maximum NdUnfilled,Ne fraction,Br fraction,Pt fraction,maximum oxidation state,MagpieData mean NValence,MagpieData minimum NdValence,Te fraction,Tc fraction,MagpieData maximum NUnfilled,dist from 1 clusters |APE| < 0.010,MagpieData avg_dev NValence,Th fraction,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData mode NpUnfilled,MagpieData maximum NdValence,MagpieData minimum Column,range Electronegativity,MagpieData avg_dev SpaceGroupNumber,transition metal fraction,Os fraction,Lr fraction,Fe fraction,MagpieData avg_dev GSvolume_pa,MagpieData avg_dev NdValence,MagpieData maximum SpaceGroupNumber,frac d valence electrons,MagpieData mode Column,MagpieData maximum Column,MagpieData minimum NfUnfilled,MagpieData range NsUnfilled,A_site_fir_ionization_energy,X_site_electronegativity,MagpieData range MendeleevNumber,MagpieData range NfValence,He fraction,Cs fraction,MagpieData minimum Row,Np fraction,octahedral_factor,X_site_affinity,MagpieData range MeltingT,MagpieData range NValence,Ce fraction,MagpieData avg_dev Number,MagpieData mode GSmagmom,Ta fraction,MagpieData mode NdValence,Tm fraction,Fm fraction,tolerance_factor,MagpieData mean NUnfilled,Hf fraction,Es fraction,MagpieData maximum NsValence,std_dev oxidation state,Cu fraction,Mo fraction,mean Number,MagpieData mean NsValence,MagpieData range NpValence,H fraction,I fraction,Ge fraction,MagpieData range GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum SpaceGroupNumber,Ni fraction,MagpieData mean NfUnfilled,Pr fraction,Pd fraction,Sn fraction,X_site_weight,Pu fraction,frac p valence electrons,Ac fraction,Au fraction,MagpieData range NpUnfilled,Cm fraction,MagpieData maximum CovalentRadius,MagpieData minimum NpValence,MagpieData mean NsUnfilled,avg p valence electrons,Cd fraction,MagpieData minimum NfValence,MagpieData maximum NfValence,formation_energy_per_atom,Be fraction,band center,MagpieData mode NdUnfilled,volume,MagpieData mean GSbandgap,MagpieData avg_dev NUnfilled,S fraction,band_gap,Ag fraction,V fraction,MagpieData minimum GSmagmom,A_site_electronegativity,MagpieData mean Electronegativity,MagpieData range AtomicWeight,MagpieData maximum NfUnfilled,MagpieData avg_dev GSbandgap,MagpieData range GSmagmom,Bi fraction,MagpieData avg_dev NsUnfilled,mean AtomicRadius,MagpieData minimum GSbandgap,O fraction,Po fraction,avg s valence electrons,MagpieData mode NsValence,MagpieData minimum NdUnfilled,MagpieData range NdValence,MagpieData range NdUnfilled,MagpieData avg_dev CovalentRadius,MagpieData avg_dev GSmagmom,MagpieData range SpaceGroupNumber,Rh fraction,Lu fraction,MagpieData minimum NpUnfilled,K fraction,MagpieData mode GSbandgap,MagpieData avg_dev NfUnfilled,MagpieData avg_dev Electronegativity,MagpieData avg_dev Column,Delta_E_g,is_metal_exp,is_metal_gga
CsPbBr3,2.333235294117647,PV600,1,0.175,3.225660616,1.457,4,265.8,0.0,0.0,0.96,0,0.0,0.0,0.79,0,0,0.0,0.0,0.0,0,8.0,2.8,0.0,104.276,0,2.17,5,0,0.0,82,0.0,0.0,0.0,0.0,43.27138846,0,0.0,1.92,3,132.9,0.0,8.0,0,0.0,4.48,1.457,1.4,0.63,0.0,0.0,339.92,0.0,0.0,0.2,4,0.0,1.118617951,1.4,2.96,-1,0.0,CsPbBr3,5,5,2.17,150.0,0.740684858,13.2,0.0,1.54,0.0,0.0,1,0.0,1,0,64,4.8,265.8,-324600.0,74.2,1.04,79.904,0.0,0.0,17,120,0,47,0.32,95,35,35,0,0.0,47,0.472,129.2,0.0,0.0,0.0,0.0,6,0,2.8,0.0,16,115.9634904,0.0,0,0,48.4,28.11,3.4,0.0,207.2,0.0,1.088944443,0.0,0.0,2.4,13.2,0.0,124,2,0.1125,115.9634904,0.764986137,46.463,0.0,0.0,0,28,0.0,1,0.0,1.45,1,11.814,600.61,0.0,0.0,0.0,115.765,3,0.0,2.96,0,0.0,4.8,120,0,0.0,1,0.0,0.0,27.68,1,0,0,0.6,0.0,2,16.0,0,0.0,0.0,4,0.737653192,6.0,0.0,95,79.904,1,10,1,2.17,78.24,0.0,0.0,0,0.0,27.7208,3.2,229,0.5,17,17,0,1,3.894,2.96,90,14,0,0.2,4,0.0,0.730769231,3.364,334.81,27,0.0,16.08,0.0,0.0,10,0.0,0,0.814856386,1.6,0.0,0,2,1.690308509,0.0,0.0,48.4,1.8,5,0.0,0.0,0.0,87.655,29.48,64,0.0,0.0,0.0,0.0,0.0,79.904,0.0,0.2125,0.0,0.0,4,0,244,0,0.2,3.4,0.0,0,14,-1.308849345,0.0,5.175320984,0,429.0442475,0.8742,0.96,0.0,1.9528,0.0,0.0,0,0.79,2.4,127.296,0,0.69936,0.0,0.0,0.32,1.57,0.0,0.0,0,1.8,2,0,10,0,37.6,0.0,165,0.0,0.0,0,0.0,1.457,0.0,0.672,4.88,0.38043529411764676,0,0
CsPbBr3,2.333235294117647,PV600,1,0.175,3.225660616,1.457,4,265.8,0.0,0.0,0.96,0,0.0,0.0,0.79,0,0,0.0,0.0,0.0,0,8.0,2.8,0.0,104.276,0,2.17,5,0,0.0,82,0.0,0.0,0.0,0.0,43.27138846,0,0.0,1.92,3,132.9,0.0,8.0,0,0.0,4.48,1.457,1.4,0.63,0.0,0.0,339.92,0.0,0.0,0.2,4,0.0,1.119083682,1.4,2.96,-1,0.0,CsPbBr3,5,5,2.17,150.0,0.740684858,13.2,0.0,1.54,0.0,0.0,1,0.0,1,0,64,4.8,265.8,-324600.0,74.2,1.04,79.904,0.0,0.0,17,120,0,47,0.32,95,35,35,0,0.0,47,0.472,129.2,0.0,0.0,0.0,0.0,6,0,2.8,0.0,16,115.9634904,0.0,0,0,48.4,28.11,3.4,0.0,207.2,0.0,1.088944443,0.0,0.0,2.4,13.2,0.0,124,2,0.1125,115.9634904,0.764986137,46.463,0.0,0.0,0,28,0.0,1,0.0,1.45,1,11.814,600.61,0.0,0.0,0.0,115.765,3,0.0,2.96,0,0.0,4.8,120,0,0.0,1,0.0,0.0,27.68,1,0,0,0.6,0.0,2,16.0,0,0.0,0.0,4,0.737653192,6.0,0.0,95,79.904,1,10,1,2.17,78.24,0.0,0.0,0,0.0,27.7208,3.2,229,0.5,17,17,0,1,3.894,2.96,90,14,0,0.2,4,0.0,0.730769231,3.364,334.81,27,0.0,16.08,0.0,0.0,10,0.0,0,0.814856386,1.6,0.0,0,2,1.690308509,0.0,0.0,48.4,1.8,5,0.0,0.0,0.0,87.655,29.48,64,0.0,0.0,0.0,0.0,0.0,79.904,0.0,0.2125,0.0,0.0,4,0,244,0,0.2,3.4,0.0,0,14,-1.307518879,0.0,5.175320984,0,427.4568933,0.8742,0.96,0.0,1.8178,0.0,0.0,0,0.79,2.4,127.296,0,0.69936,0.0,0.0,0.32,1.57,0.0,0.0,0,1.8,2,0,10,0,37.6,0.0,165,0.0,0.0,0,0.0,1.457,0.0,0.672,4.88,0.5154352941176468,0,0
CsPbBr3,2.333235294117647,PV600,1,0.175,1.984555294,1.457,4,265.8,0.0,0.0,0.96,0,0.0,0.0,0.79,0,0,0.0,0.0,0.0,0,8.0,2.8,0.0,104.276,0,2.17,5,0,0.0,82,0.0,0.0,0.0,0.0,43.27138846,0,0.0,1.92,3,132.9,0.0,8.0,0,0.0,4.48,1.457,1.4,0.63,0.0,0.0,339.92,0.0,0.0,0.2,4,0.0,1.058418422,1.4,2.96,-1,0.0,CsPbBr3,5,5,2.17,150.0,0.740684858,13.2,0.0,1.54,0.0,0.0,1,0.0,1,0,64,4.8,265.8,-324600.0,74.2,1.04,79.904,0.0,0.0,17,120,0,47,0.32,95,35,35,0,0.0,47,0.472,129.2,0.0,0.0,0.0,0.0,6,0,2.8,0.0,16,115.9634904,0.0,0,0,48.4,28.11,3.4,0.0,207.2,0.0,1.088944443,0.0,0.0,2.4,13.2,0.0,124,2,0.1125,115.9634904,0.764986137,46.463,0.0,0.0,0,28,0.0,1,0.0,1.45,1,11.814,600.61,0.0,0.0,0.0,115.765,3,0.0,2.96,0,0.0,4.8,120,0,0.0,1,0.0,0.0,27.68,1,0,0,0.6,0.0,2,16.0,0,0.0,0.0,4,0.737653192,6.0,0.0,95,79.904,1,10,1,2.17,78.24,0.0,0.0,0,0.0,27.7208,3.2,229,0.5,17,17,0,1,3.894,2.96,90,14,0,0.2,4,0.0,0.730769231,3.364,334.81,27,0.0,16.08,0.0,0.0,10,0.0,0,0.814856386,1.6,0.0,0,2,1.690308509,0.0,0.0,48.4,1.8,5,0.0,0.0,0.0,87.655,29.48,64,0.0,0.0,0.0,0.0,0.0,79.904,0.0,0.2125,0.0,0.0,4,0,244,0,0.2,3.4,0.0,0,14,-1.315228999,0.0,5.175320984,0,847.0742103,0.8742,0.96,0.0,2.0087,0.0,0.0,0,0.79,2.4,127.296,0,0.69936,0.0,0.0,0.32,1.57,0.0,0.0,0,1.8,2,0,10,0,37.6,0.0,165,0.0,0.0,0,0.0,1.457,0.0,0.672,4.88,0.3245352941176467,0,0
CsPbI3,1.895,PV600,1,0.175,1.997227055,1.062,5,386.85,0.0,0.0,0.48,0,0.0,0.0,0.79,0,0,0.0,0.0,0.0,0,8.0,2.8,0.0,75.224,0,1.87,5,0,0.0,82,0.0,0.0,0.0,0.0,25.21449105,0,0.0,1.92,3,132.9,0.0,8.0,0,0.0,4.48,1.062,1.4,0.33,0.0,0.0,412.55,0.0,0.0,0.2,4,0.0,1.054985701,1.1,2.66,-1,0.0,CsPbI3,5,5,1.87,161.4,0.740684858,13.2,0.0,1.54,0.0,0.0,1,0.0,1,0,64,5.4,301.59,-295200.0,74.8,1.04,126.90447,0.0,0.0,17,139,0,29,0.32,96,53,53,0,0.0,29,0.472,129.2,0.0,0.0,0.0,0.0,6,0,2.8,0.0,16,144.1637724,0.0,0,0,59.2,28.11,3.4,0.0,207.2,0.0,1.088944443,0.0,0.0,2.22,13.2,0.0,105,1,0.1125,144.1637724,0.764986137,54.584,0.0,0.0,0,28,0.0,1,0.0,1.2,1,10.451,600.61,0.0,0.0,0.0,115.765,3,0.0,2.66,0,0.0,5.4,139,0,0.0,1,0.0,0.0,27.92,1,0,0,0.0,0.0,2,16.0,0,0.0,0.0,4,0.737653192,6.0,0.0,96,126.90447,1,10,1,1.87,78.24,0.0,0.0,0,0.0,24.4724,3.2,229,0.5,17,17,0,1,3.894,2.66,91,14,0,0.2,5,0.0,0.645631068,3.06,299.02,27,0.0,9.12,0.0,0.0,10,0.0,0,0.807228095,1.6,0.0,0,2,1.690308509,0.0,0.0,59.2,1.8,5,0.0,0.6,0.0,87.655,43.015,64,0.0,0.0,0.0,0.0,0.0,126.9,0.0,0.2125,0.0,0.0,4,0,244,0,0.2,3.4,0.0,0,14,-1.022532102,0.0,4.82625513,0,1008.6978,0.6372,0.96,0.0,1.6364,0.0,0.0,0,0.79,2.22,80.29553,0,0.50976,0.0,0.0,0.32,1.72,0.0,0.0,0,1.8,2,0,10,0,33.04,0.0,165,0.0,0.0,0,0.0,1.062,0.0,0.572,4.88,0.25859999999999994,0,0
Cs2InCuCl6,1.1,OpenAlex_Crawler,2,0.0,3.389565118,2.493,3,171.6,0.0,0.0,1.08,0,0.0,0.0,0.79,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,220.692,0,2.37,5,0,0.0,55,0.0,0.0,0.0,0.0,36.71220653,0,0.0,2.28,4,132.9,0.0,2.0,0,0.0,0.0,2.493,1.1,1.26,0.0,0.0,342.03,0.0,0.0,0.0,5,0.0,1.135884363,1.845,3.16,-1,0.0,Cs2InCuCl6,5,5,2.37,137.4,0.694826646,12.8,0.0,1.11,0.0,0.0,1,0.0,1,0,64,3.9,171.6,-349000.0,71.3,0.78,35.453,0.0,0.0,7,102,0,38,0.42,94,17,17,0,0.0,38,0.472,120.6,0.0,0.0,0.0,0.0,6,0,0.0,0.0,16,65.68929038,0.0,0,0,29.0,11.07,3.1,0.0,132.9054519,0.0,0.666243199,0.0,0.0,2.422,12.8,0.0,142,3,0.25,65.68929038,0.696056359,41.3845,0.0,0.0,0,13,0.0,1,0.0,1.6,1,12.968,1357.77,0.0,0.1,0.0,115.765,4,0.6,3.16,0,0.0,3.9,102,0,0.0,1,0.0,0.0,27.98,1,0,0,0.0,0.0,3,6.8,0,0.0,0.0,5,0.694030262,2.32,0.0,94,35.453,1,10,1,2.37,67.92,0.1,0.0,0,0.0,29.7522,3.2,229,0.294117647,17,17,0,1,3.894,3.16,89,0,0,0.2,3,0.0,0.553892216,3.62,1186.17,12,0.0,14.4,0.0,0.0,0,0.0,0,0.948258805,1.4,0.0,0,2,1.761660659,0.1,0.0,29.0,1.7,5,0.0,0.0,0.0,104.695,24.4975,64,0.0,0.0,0.0,0.0,0.0,35.45,0.0,0.455882353,0.0,0.0,5,0,244,0,0.3,3.1,0.0,0,0,-1.682645252,0.0,5.40082237,0,276.8307707,1.4958,0.72,0.0,0.0005,0.0,0.0,0,0.79,2.422,97.4524519,0,1.19664,0.0,0.0,0.42,1.41,0.0,0.0,0,1.7,2,0,10,0,43.56,0.0,165,0.0,0.0,0,0.0,2.493,0.0,0.8856,5.08,1.0995000000000001,0,1
Cs2CuAsCl6,1.51,OpenAlex_Crawler,2,0.0,2.166493611,2.493,3,171.6,0.0,0.0,0.96,0,0.0,0.0,0.79,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,326.332,0,2.37,5,0,0.0,55,0.0,0.0,0.0,0.0,31.49598046,0,0.0,2.04,4,132.9,0.0,2.0,0,0.0,0.0,2.493,0.9,0.98,0.0,0.0,408.055,0.0,0.0,0.0,3,0.0,1.132249526,1.745,3.16,-1,0.0,Cs2CuAsCl6,5,5,2.37,135.1,0.695631605,13.0,0.0,1.39,0.0,0.0,1,0.0,1,0,64,3.8,171.6,-349000.0,72.2,0.54,35.453,0.0,0.0,7,102,0,38,0.42,94,17,17,0,0.0,38,0.472,123.3,0.0,0.0,0.0,0.0,6,0,0.0,0.0,16,61.69965038,0.0,0,0,27.4,11.07,3.3,0.0,132.9054519,0.0,0.800424887,0.0,0.0,2.462,13.0,0.0,142,3,0.242857143,61.69965038,0.697273616,41.176,0.0,0.1,0,15,0.0,1,0.0,1.6,1,12.968,1357.77,0.0,0.0,0.0,115.765,2,0.6,3.16,0,0.0,3.8,102,0,0.0,1,0.0,0.0,28.52,1,0,0,0.0,0.0,3,7.0,0,0.0,0.0,3,0.693654831,2.4,0.0,94,35.453,1,10,1,2.37,71.16,0.1,0.0,0,0.0,29.8356,3.2,229,0.285714286,17,17,0,1,3.894,3.16,89,0,0,0.2,3,0.0,0.488023952,3.62,1186.17,14,0.0,12.48,0.0,0.0,0,0.0,0,0.990234044,1.2,0.0,0,2,1.761660659,0.1,0.0,27.4,1.7,5,0.0,0.0,0.0,104.695,24.4975,64,0.0,0.0,0.0,0.0,0.0,35.45,0.0,0.471428571,0.0,0.0,3,0,244,0,0.3,3.3,0.0,0,0,-1.508914848,0.0,5.710230976,0,269.7701925,1.4958,0.36,0.0,0.8879,0.0,0.0,0,0.79,2.462,97.4524519,0,1.19664,0.0,0.0,0.42,1.37,0.0,0.0,0,1.7,2,0,10,0,43.56,0.0,165,0.0,0.0,0,0.0,2.493,0.0,0.8376,5.2,0.6221,0,0
MgZnO3,1.33,OpenAlex_Crawler,2,0.0,3.800755798,0.0,2,54.8,0.0,0.0,0.72,0,0.0,0.0,1.31,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,361.4592,0,1.257033333,68,0,0.0,30,0.0,0.0,0.0,0.0,15.137344,0,0.0,1.92,0,24.305,0.0,2.0,0,0.0,0.0,0.0,1.2,0.0039,0.0,0.0,356.016,0.0,0.0,0.0,2,0.2,1.46359857,0.123233333,3.44,0,0.0,MgZnO3,4,4,2.13,92.2,0.031032756,12.4,0.2,0.0,0.0,0.0,0,0.0,2,0,12,2.6,54.8,-32670.66667,79.6,0.96,15.9994,0.0,0.0,6,66,0,22,0.0,87,8,8,0,0.0,22,0.0,84.8,0.0,0.0,0.0,0.0,4,0,0.0,0.0,14,27.53664,0.0,0,0,13.2,9.105,2.4,0.0,65.38,0.0,0.0,0.0,0.0,2.656,12.4,0.0,75,2,0.3125,27.53664,0.044075498,12.833,0.0,0.0,0,12,0.0,0,0.0,0.9,2,13.618,923.0,0.0,0.0,0.0,22.89,2,0.0,3.44,0,0.0,2.6,66,0,0.0,2,0.0,0.0,8.88,0,0,0,0.0,0.0,0,6.4,0,0.0,0.0,2,0.0,2.24,0.0,87,15.9994,2,10,2,2.13,87.36,0.0,0.0,0,0.0,4.4736,3.2,194,0.3125,16,16,0,0,7.646,3.44,19,0,0,0.0,2,0.0,1.712328767,1.46,868.2,10,0.0,6.72,0.0,0.0,0,0.0,0,0.746390491,1.2,0.0,0,2,0.0,0.0,0.0,13.2,2.0,4,0.0,0.0,0.0,13.785,9.105,12,0.0,0.0,0.0,0.0,0.0,15.999,0.0,0.375,0.0,0.0,2,0,141,0,0.0,2.4,0.0,0,0,-1.241888622,0.0,5.987872329,0,55.75597084,0.0,0.96,0.0,0.0,0.0,0.0,0,1.31,2.656,49.3806,0,0.0,0.0,0.0,0.0,0.93,0.0,0.6,0,2.0,2,0,10,0,31.44,0.0,182,0.0,0.0,0,0.0,0.0,0.0,0.9408,4.32,1.33,0,1
LuMnO3,1.55,OpenAlex_Crawler,2,0.333333333,6.777760366,0.0,2,54.8,0.0,0.0,1.44,0,0.0,0.0,1.27,0,0,0.0,0.000511444,0.0,0,1.2,2.8,0.0,802.896,0,2.17,41,0,0.0,71,0.0,0.0,0.0,0.0,47.7544764,0,0.0,1.92,5,174.96,0.0,1.2,0,0.0,4.48,0.0,1.2,1.89,0.0,0.0,723.88,0.0,0.0,0.0,2,0.0,1.027258434,2.03,3.44,-2,3.36,LuMnO3,4,4,2.17,104.8,0.061604986,11.6,0.0,0.28,0.0,0.0,2,0.0,6,0,12,3.2,54.8,-282000.0,70.8,0.96,15.9994,0.0,0.0,6,66,0,63,0.0,87,8,8,0,0.0,63,0.52,89.4,0.2,0.0,0.0,2.8,6,0,2.8,0.0,13,55.580609,0.0,0,0,24.0,9.105,2.4,0.0,174.9668,0.0022471,0.197989899,0.0,0.0,2.628,11.6,0.0,121,4,0.238095238,55.580609,0.084085306,13.33351724,0.0,0.0,0,17,0.0,0,0.0,1.15,2,13.618,1936.0,0.0,0.0,0.0,28.865,7,0.0,3.44,0,0.0,3.2,66,0,0.0,2,0.0,0.0,19.44,0,9,0,0.0,0.0,3,8.4,0,0.0,0.0,9,0.025784103,3.44,0.0,87,15.9994,2,5,3,2.17,92.88,0.2,0.0,0,0.0,6.212593103,1.52,217,0.142857143,16,16,0,0,5.426,3.44,46,14,0,0.0,2,0.0,0.571428571,1.46,1881.2,11,0.0,19.2,0.0,0.0,0,0.0,0,0.807458804,4.0,0.0,0,2,3.273268354,0.0,0.0,24.0,2.0,4,0.0,0.0,0.0,19.76,9.105,12,0.0,0.0,0.0,0.0,0.0,15.999,0.0,0.285714286,0.0,0.0,2,0,187,0,0.0,2.4,0.0,0,14,-3.122341867,0.0,5.433497186,0,369.1664956,0.0,2.4,0.0,0.0,0.0,0.0,0,1.27,2.628,158.9674,0,0.0,0.0022471,0.0,0.0,0.99,0.0,0.6,0,2.0,2,0,5,9,46.56,0.000694262,205,0.0,0.2,0,0.0,0.0,0.0,0.9744,5.28,1.55,0,1
Sr2LaNbO6,3.7,OpenAlex_Crawler,2,0.0,6.771007833,0.0,2,54.8,0.0,0.0,1.56,0,0.0,0.0,0.95,0,0,0.1,0.0,0.0,0,0.5,0.0,0.0,698.856,0,2.49,8,0,0.0,57,0.0,0.0,0.0,0.0,41.16651,0,0.0,1.92,7,87.62,0.0,0.5,0,0.0,0.0,0.0,1.2,1.84,0.0,0.0,637.18,0.0,0.0,0.0,2,0.0,1.117168215,2.29,3.44,-2,2.4,Sr2LaNbO6,4,4,2.49,115.7,0.045135848,10.8,0.0,0.65,0.0,0.0,0,0.0,2,0,12,3.3,54.8,-282000.0,59.8,0.96,15.9994,0.2,0.0,6,66,0,49,0.18,87,8,8,0,0.0,49,0.0521,94.5,0.0,0.1,0.0,1.5,6,0,0.0,0.0,14,50.304825,0.0,0,0,22.2,9.105,2.4,0.0,138.90547,0.0,0.33763886,0.0,0.0,2.524,10.8,0.0,141,4,0.395833333,50.304825,0.05496733,21.81675,0.0,0.0,0,6,0.0,1,0.0,1.4,1,13.618,2750.0,0.0,0.0,0.0,54.23,9,0.0,3.44,0,0.0,3.3,66,0,0.0,2,0.0,0.0,32.64,1,9,0,0.0,0.0,5,4.8,0,0.0,0.0,9,0.028284271,1.48,0.0,87,15.9994,2,4,2,2.49,99.0,0.1,0.0,0,0.0,15.98145,0.8,229,0.104166667,16,16,0,1,5.695,3.44,79,0,0,0.0,2,0.0,0.774603175,1.46,2695.2,4,0.0,17.04,0.0,0.0,0,0.0,0,0.81589244,2.8,0.0,0,2,3.373323338,0.0,0.0,22.2,1.9,4,0.0,0.0,0.0,45.125,9.105,12,0.0,0.0,0.0,0.0,0.0,15.999,0.0,0.5,0.0,0.0,2,0,207,0,0.1,2.4,0.0,0,0,-3.284208047,0.0,5.304350107,0,163.9158168,0.0,2.08,0.0,2.9823,0.0,0.0,0,0.95,2.524,122.90607,0,0.0,0.0,0.0,0.18,1.1,0.0,0.6,0,1.9,2,0,4,9,59.64,0.0,217,0.0,0.0,0,0.0,0.0,0.0,1.0992,6.24,0.7177000000000002,0,0
Sr2NiIrO6,0.3,OpenAlex_Crawler,2,0.191780822,5.659776509,0.0,2,54.8,0.0,0.0,1.44,0,0.0,0.0,0.95,0,0,0.0,0.05953947,0.0,0,1.5,1.4,0.0,761.736,0,2.49,8,0,0.0,77,0.0,0.0,0.0,0.0,43.458336,0,0.0,1.92,7,87.62,0.0,1.5,0,0.0,2.52,0.0,1.2,1.24,0.0,0.0,689.58,0.0,0.0,0.0,2,0.0,1.12079463,1.9375,3.44,-2,0.8,Sr2NiIrO6,4,4,2.49,105.1,0.063690162,11.9,0.0,1.25,0.0,0.0,0,0.0,2,0,12,3.2,54.8,-282000.0,65.9,0.96,15.9994,0.2,0.0,6,66,0,69,0.0,87,8,8,0,0.0,69,0.0521,97.2,0.0,0.0,0.0,0.5,6,0,1.4,0.0,14,52.21468,0.0,0,0,22.9,9.105,2.4,0.0,192.217,0.5953947,0.710795329,0.0,0.0,2.665,11.9,0.0,129,4,0.273972603,52.21468,0.068585838,18.762,0.0,0.0,0,23,0.0,0,0.1,1.4,2,13.618,2739.0,0.0,0.0,0.0,54.23,3,0.0,3.44,0,0.0,3.2,66,0,0.0,2,0.0,0.0,25.32,0,3,0,0.0,0.0,5,7.3,0,0.0,0.0,3,0.058133479,3.68,0.0,87,15.9994,2,8,2,2.49,102.24,0.2,0.0,0,0.0,14.1872,2.4,225,0.205479452,16,16,0,0,5.695,3.44,79,14,0,0.0,2,0.0,0.55952381,1.46,2684.2,21,0.0,17.88,0.0,0.0,0,0.0,0,0.92841501,1.7,0.0,0,2,3.373323338,0.0,0.0,22.9,2.0,4,0.0,0.0,0.0,45.125,9.105,12,0.1,0.0,0.0,0.0,0.0,15.999,0.0,0.328767123,0.0,0.0,2,0,195,0,0.0,2.4,0.0,0,14,-2.050095244,0.0,5.691665332,0,126.2851328,0.0,0.68,0.0,0.0,0.0,0.0,0,0.95,2.665,176.2176,0,0.0,0.5953947,0.0,0.0,1.03,0.0,0.6,0,2.0,2,0,8,3,46.92,0.107171046,213,0.0,0.0,0,0.0,0.0,0.0,0.93,4.92,0.3,0,1
