Formula,E_g_Exp,Source,Priority,frac f valence electrons,cohesive energy (MP),MagpieData range GSbandgap,MagpieData mode Row,MagpieData mode MeltingT,F fraction,Al fraction,MagpieData avg_dev Row,MagpieData mode NfUnfilled,Pm fraction,Cr fraction,MagpieData minimum Electronegativity,Fr fraction,Bk fraction,La fraction,MagpieData mean GSmagmom,B fraction,Cf fraction,MagpieData mean NdValence,MagpieData mean NfValence,Sb fraction,MagpieData avg_dev MeltingT,Md fraction,maximum EN difference,MagpieData minimum MendeleevNumber,MagpieData minimum NsUnfilled,Si fraction,MagpieData maximum Number,Tl fraction,P fraction,Li fraction,Ca fraction,MagpieData avg_dev AtomicWeight,Ar fraction,Gd fraction,MagpieData avg_dev NpValence,range oxidation state,A_site_weight,Y fraction,avg d valence electrons,MagpieData mode NfValence,C fraction,MagpieData avg_dev NfValence,MagpieData maximum GSbandgap,MagpieData mean NpUnfilled,minimum EN difference,Sc fraction,Ti fraction,MagpieData mean MeltingT,Rb fraction,Ba fraction,Pb fraction,MagpieData maximum NpUnfilled,Mg fraction,(u+t)n,mean EN difference,MagpieData mode Electronegativity,minimum oxidation state,MagpieData avg_dev NdUnfilled,pretty_formula,MagpieData maximum NpValence,MagpieData mode NpValence,MagpieData range Electronegativity,MagpieData mean CovalentRadius,dist from 3 clusters |APE| < 0.010,mean Column,Zn fraction,range EN difference,Re fraction,N fraction,MagpieData minimum NUnfilled,Ho fraction,MagpieData minimum NValence,Am fraction,MagpieData mode SpaceGroupNumber,MagpieData mean Row,MagpieData minimum MeltingT,avg anion electron affinity,MagpieData mean MendeleevNumber,MagpieData avg_dev NpUnfilled,MagpieData mode AtomicWeight,Sr fraction,Yb fraction,MagpieData mode NValence,MagpieData minimum CovalentRadius,No fraction,MagpieData range Number,MagpieData avg_dev NsValence,MagpieData maximum MendeleevNumber,MagpieData minimum Number,MagpieData mode Number,Ra fraction,Zr fraction,range Number,A_site_affinity,MagpieData mean SpaceGroupNumber,Mn fraction,Nb fraction,Tb fraction,MagpieData mean NdUnfilled,MagpieData maximum Row,At fraction,avg f valence electrons,Se fraction,MagpieData range Column,MagpieData mean AtomicWeight,Ru fraction,Rn fraction,MagpieData range NfUnfilled,MagpieData mean Number,MagpieData minimum GSvolume_pa,MagpieData mean NpValence,Pa fraction,MagpieData maximum AtomicWeight,MagpieData maximum GSmagmom,std_dev EN difference,Er fraction,Ga fraction,mean Electronegativity,MagpieData mean Column,Nd fraction,MagpieData range CovalentRadius,MagpieData range Row,frac s valence electrons,mean AtomicWeight,dist from 5 clusters |APE| < 0.010,MagpieData mean GSvolume_pa,Dy fraction,As fraction,Xe fraction,MagpieData maximum NValence,Hg fraction,MagpieData maximum NsUnfilled,Ir fraction,range AtomicRadius,MagpieData minimum NsValence,X_site_fir_ionization_energy,MagpieData maximum MeltingT,Na fraction,In fraction,Sm fraction,MagpieData maximum GSvolume_pa,MagpieData range NUnfilled,Cl fraction,MagpieData maximum Electronegativity,MagpieData mode NsUnfilled,Co fraction,mean Row,MagpieData mode CovalentRadius,Kr fraction,W fraction,MagpieData mode NUnfilled,U fraction,Eu fraction,MagpieData avg_dev MendeleevNumber,MagpieData range NsValence,MagpieData maximum NdUnfilled,Ne fraction,Br fraction,Pt fraction,maximum oxidation state,MagpieData mean NValence,MagpieData minimum NdValence,Te fraction,Tc fraction,MagpieData maximum NUnfilled,dist from 1 clusters |APE| < 0.010,MagpieData avg_dev NValence,Th fraction,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData mode NpUnfilled,MagpieData maximum NdValence,MagpieData minimum Column,range Electronegativity,MagpieData avg_dev SpaceGroupNumber,transition metal fraction,Os fraction,Lr fraction,Fe fraction,MagpieData avg_dev GSvolume_pa,MagpieData avg_dev NdValence,MagpieData maximum SpaceGroupNumber,frac d valence electrons,MagpieData mode Column,MagpieData maximum Column,MagpieData minimum NfUnfilled,MagpieData range NsUnfilled,A_site_fir_ionization_energy,X_site_electronegativity,MagpieData range MendeleevNumber,MagpieData range NfValence,He fraction,Cs fraction,MagpieData minimum Row,Np fraction,octahedral_factor,X_site_affinity,MagpieData range MeltingT,MagpieData range NValence,Ce fraction,MagpieData avg_dev Number,MagpieData mode GSmagmom,Ta fraction,MagpieData mode NdValence,Tm fraction,Fm fraction,tolerance_factor,MagpieData mean NUnfilled,Hf fraction,Es fraction,MagpieData maximum NsValence,std_dev oxidation state,Cu fraction,Mo fraction,mean Number,MagpieData mean NsValence,MagpieData range NpValence,H fraction,I fraction,Ge fraction,MagpieData range GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum SpaceGroupNumber,Ni fraction,MagpieData mean NfUnfilled,Pr fraction,Pd fraction,Sn fraction,X_site_weight,Pu fraction,frac p valence electrons,Ac fraction,Au fraction,MagpieData range NpUnfilled,Cm fraction,MagpieData maximum CovalentRadius,MagpieData minimum NpValence,MagpieData mean NsUnfilled,avg p valence electrons,Cd fraction,MagpieData minimum NfValence,MagpieData maximum NfValence,formation_energy_per_atom,Be fraction,band center,MagpieData mode NdUnfilled,volume,MagpieData mean GSbandgap,MagpieData avg_dev NUnfilled,S fraction,band_gap,Ag fraction,V fraction,MagpieData minimum GSmagmom,A_site_electronegativity,MagpieData mean Electronegativity,MagpieData range AtomicWeight,MagpieData maximum NfUnfilled,MagpieData avg_dev GSbandgap,MagpieData range GSmagmom,Bi fraction,MagpieData avg_dev NsUnfilled,mean AtomicRadius,MagpieData minimum GSbandgap,O fraction,Po fraction,avg s valence electrons,MagpieData mode NsValence,MagpieData minimum NdUnfilled,MagpieData range NdValence,MagpieData range NdUnfilled,MagpieData avg_dev CovalentRadius,MagpieData avg_dev GSmagmom,MagpieData range SpaceGroupNumber,Rh fraction,Lu fraction,MagpieData minimum NpUnfilled,K fraction,MagpieData mode GSbandgap,MagpieData avg_dev NfUnfilled,MagpieData avg_dev Electronegativity,MagpieData avg_dev Column,Delta_E_g,is_metal_exp,is_metal_gga
CsPbBr3,2.36,manual_record_xlsx,1,0.175,3.225660616,1.457,4,265.8,0.0,0.0,0.96,0,0.0,0.0,0.79,0,0,0.0,0.0,0.0,0,8.0,2.8,0.0,104.276,0,2.17,5,0,0.0,82,0.0,0.0,0.0,0.0,43.27138846,0,0.0,1.92,3,132.9,0.0,8.0,0,0.0,4.48,1.457,1.4,0.63,0.0,0.0,339.92,0.0,0.0,0.2,4,0.0,1.118617951,1.4,2.96,-1,0.0,CsPbBr3,5,5,2.17,150.0,0.740684858,13.2,0.0,1.54,0.0,0.0,1,0.0,1,0,64,4.8,265.8,-324600.0,74.2,1.04,79.904,0.0,0.0,17,120,0,47,0.32,95,35,35,0,0.0,47,0.472,129.2,0.0,0.0,0.0,0.0,6,0,2.8,0.0,16,115.9634904,0.0,0,0,48.4,28.11,3.4,0.0,207.2,0.0,1.088944443,0.0,0.0,2.4,13.2,0.0,124,2,0.1125,115.9634904,0.764986137,46.463,0.0,0.0,0,28,0.0,1,0.0,1.45,1,11.814,600.61,0.0,0.0,0.0,115.765,3,0.0,2.96,0,0.0,4.8,120,0,0.0,1,0.0,0.0,27.68,1,0,0,0.6,0.0,2,16.0,0,0.0,0.0,4,0.737653192,6.0,0.0,95,79.904,1,10,1,2.17,78.24,0.0,0.0,0,0.0,27.7208,3.2,229,0.5,17,17,0,1,3.894,2.96,90,14,0,0.2,4,0.0,0.730769231,3.364,334.81,27,0.0,16.08,0.0,0.0,10,0.0,0,0.814856386,1.6,0.0,0,2,1.690308509,0.0,0.0,48.4,1.8,5,0.0,0.0,0.0,87.655,29.48,64,0.0,0.0,0.0,0.0,0.0,79.904,0.0,0.2125,0.0,0.0,4,0,244,0,0.2,3.4,0.0,0,14,-1.308849345,0.0,5.175320984,0,429.0442475,0.8742,0.96,0.0,1.9528,0.0,0.0,0,0.79,2.4,127.296,0,0.69936,0.0,0.0,0.32,1.57,0.0,0.0,0,1.8,2,0,10,0,37.6,0.0,165,0.0,0.0,0,0.0,1.457,0.0,0.672,4.88,0.3804352941176467,False,0
CsPbBr3,2.36,manual_record_xlsx,1,0.175,3.225660616,1.457,4,265.8,0.0,0.0,0.96,0,0.0,0.0,0.79,0,0,0.0,0.0,0.0,0,8.0,2.8,0.0,104.276,0,2.17,5,0,0.0,82,0.0,0.0,0.0,0.0,43.27138846,0,0.0,1.92,3,132.9,0.0,8.0,0,0.0,4.48,1.457,1.4,0.63,0.0,0.0,339.92,0.0,0.0,0.2,4,0.0,1.119083682,1.4,2.96,-1,0.0,CsPbBr3,5,5,2.17,150.0,0.740684858,13.2,0.0,1.54,0.0,0.0,1,0.0,1,0,64,4.8,265.8,-324600.0,74.2,1.04,79.904,0.0,0.0,17,120,0,47,0.32,95,35,35,0,0.0,47,0.472,129.2,0.0,0.0,0.0,0.0,6,0,2.8,0.0,16,115.9634904,0.0,0,0,48.4,28.11,3.4,0.0,207.2,0.0,1.088944443,0.0,0.0,2.4,13.2,0.0,124,2,0.1125,115.9634904,0.764986137,46.463,0.0,0.0,0,28,0.0,1,0.0,1.45,1,11.814,600.61,0.0,0.0,0.0,115.765,3,0.0,2.96,0,0.0,4.8,120,0,0.0,1,0.0,0.0,27.68,1,0,0,0.6,0.0,2,16.0,0,0.0,0.0,4,0.737653192,6.0,0.0,95,79.904,1,10,1,2.17,78.24,0.0,0.0,0,0.0,27.7208,3.2,229,0.5,17,17,0,1,3.894,2.96,90,14,0,0.2,4,0.0,0.730769231,3.364,334.81,27,0.0,16.08,0.0,0.0,10,0.0,0,0.814856386,1.6,0.0,0,2,1.690308509,0.0,0.0,48.4,1.8,5,0.0,0.0,0.0,87.655,29.48,64,0.0,0.0,0.0,0.0,0.0,79.904,0.0,0.2125,0.0,0.0,4,0,244,0,0.2,3.4,0.0,0,14,-1.307518879,0.0,5.175320984,0,427.4568933,0.8742,0.96,0.0,1.8178,0.0,0.0,0,0.79,2.4,127.296,0,0.69936,0.0,0.0,0.32,1.57,0.0,0.0,0,1.8,2,0,10,0,37.6,0.0,165,0.0,0.0,0,0.0,1.457,0.0,0.672,4.88,0.5154352941176468,False,0
CsPbBr3,2.36,manual_record_xlsx,1,0.175,1.984555294,1.457,4,265.8,0.0,0.0,0.96,0,0.0,0.0,0.79,0,0,0.0,0.0,0.0,0,8.0,2.8,0.0,104.276,0,2.17,5,0,0.0,82,0.0,0.0,0.0,0.0,43.27138846,0,0.0,1.92,3,132.9,0.0,8.0,0,0.0,4.48,1.457,1.4,0.63,0.0,0.0,339.92,0.0,0.0,0.2,4,0.0,1.058418422,1.4,2.96,-1,0.0,CsPbBr3,5,5,2.17,150.0,0.740684858,13.2,0.0,1.54,0.0,0.0,1,0.0,1,0,64,4.8,265.8,-324600.0,74.2,1.04,79.904,0.0,0.0,17,120,0,47,0.32,95,35,35,0,0.0,47,0.472,129.2,0.0,0.0,0.0,0.0,6,0,2.8,0.0,16,115.9634904,0.0,0,0,48.4,28.11,3.4,0.0,207.2,0.0,1.088944443,0.0,0.0,2.4,13.2,0.0,124,2,0.1125,115.9634904,0.764986137,46.463,0.0,0.0,0,28,0.0,1,0.0,1.45,1,11.814,600.61,0.0,0.0,0.0,115.765,3,0.0,2.96,0,0.0,4.8,120,0,0.0,1,0.0,0.0,27.68,1,0,0,0.6,0.0,2,16.0,0,0.0,0.0,4,0.737653192,6.0,0.0,95,79.904,1,10,1,2.17,78.24,0.0,0.0,0,0.0,27.7208,3.2,229,0.5,17,17,0,1,3.894,2.96,90,14,0,0.2,4,0.0,0.730769231,3.364,334.81,27,0.0,16.08,0.0,0.0,10,0.0,0,0.814856386,1.6,0.0,0,2,1.690308509,0.0,0.0,48.4,1.8,5,0.0,0.0,0.0,87.655,29.48,64,0.0,0.0,0.0,0.0,0.0,79.904,0.0,0.2125,0.0,0.0,4,0,244,0,0.2,3.4,0.0,0,14,-1.315228999,0.0,5.175320984,0,847.0742103,0.8742,0.96,0.0,2.0087,0.0,0.0,0,0.79,2.4,127.296,0,0.69936,0.0,0.0,0.32,1.57,0.0,0.0,0,1.8,2,0,10,0,37.6,0.0,165,0.0,0.0,0,0.0,1.457,0.0,0.672,4.88,0.3245352941176467,False,0
CsPbI3,1.73,manual_record_xlsx,1,0.175,1.997227055,1.062,5,386.85,0.0,0.0,0.48,0,0.0,0.0,0.79,0,0,0.0,0.0,0.0,0,8.0,2.8,0.0,75.224,0,1.87,5,0,0.0,82,0.0,0.0,0.0,0.0,25.21449105,0,0.0,1.92,3,132.9,0.0,8.0,0,0.0,4.48,1.062,1.4,0.33,0.0,0.0,412.55,0.0,0.0,0.2,4,0.0,1.054985701,1.1,2.66,-1,0.0,CsPbI3,5,5,1.87,161.4,0.740684858,13.2,0.0,1.54,0.0,0.0,1,0.0,1,0,64,5.4,301.59,-295200.0,74.8,1.04,126.90447,0.0,0.0,17,139,0,29,0.32,96,53,53,0,0.0,29,0.472,129.2,0.0,0.0,0.0,0.0,6,0,2.8,0.0,16,144.1637724,0.0,0,0,59.2,28.11,3.4,0.0,207.2,0.0,1.088944443,0.0,0.0,2.22,13.2,0.0,105,1,0.1125,144.1637724,0.764986137,54.584,0.0,0.0,0,28,0.0,1,0.0,1.2,1,10.451,600.61,0.0,0.0,0.0,115.765,3,0.0,2.66,0,0.0,5.4,139,0,0.0,1,0.0,0.0,27.92,1,0,0,0.0,0.0,2,16.0,0,0.0,0.0,4,0.737653192,6.0,0.0,96,126.90447,1,10,1,1.87,78.24,0.0,0.0,0,0.0,24.4724,3.2,229,0.5,17,17,0,1,3.894,2.66,91,14,0,0.2,5,0.0,0.645631068,3.06,299.02,27,0.0,9.12,0.0,0.0,10,0.0,0,0.807228095,1.6,0.0,0,2,1.690308509,0.0,0.0,59.2,1.8,5,0.0,0.6,0.0,87.655,43.015,64,0.0,0.0,0.0,0.0,0.0,126.9,0.0,0.2125,0.0,0.0,4,0,244,0,0.2,3.4,0.0,0,14,-1.022532102,0.0,4.82625513,0,1008.6978,0.6372,0.96,0.0,1.6364,0.0,0.0,0,0.79,2.22,80.29553,0,0.50976,0.0,0.0,0.32,1.72,0.0,0.0,0,1.8,2,0,10,0,33.04,0.0,165,0.0,0.0,0,0.0,1.062,0.0,0.572,4.88,0.2585999999999999,False,0
LuMnO3,1.55,manual_record_xlsx,2,0.333333333,6.777760366,0.0,2,54.8,0.0,0.0,1.44,0,0.0,0.0,1.27,0,0,0.0,0.000511444,0.0,0,1.2,2.8,0.0,802.896,0,2.17,41,0,0.0,71,0.0,0.0,0.0,0.0,47.7544764,0,0.0,1.92,5,174.96,0.0,1.2,0,0.0,4.48,0.0,1.2,1.89,0.0,0.0,723.88,0.0,0.0,0.0,2,0.0,1.027258434,2.03,3.44,-2,3.36,LuMnO3,4,4,2.17,104.8,0.061604986,11.6,0.0,0.28,0.0,0.0,2,0.0,6,0,12,3.2,54.8,-282000.0,70.8,0.96,15.9994,0.0,0.0,6,66,0,63,0.0,87,8,8,0,0.0,63,0.52,89.4,0.2,0.0,0.0,2.8,6,0,2.8,0.0,13,55.580609,0.0,0,0,24.0,9.105,2.4,0.0,174.9668,0.0022471,0.197989899,0.0,0.0,2.628,11.6,0.0,121,4,0.238095238,55.580609,0.084085306,13.33351724,0.0,0.0,0,17,0.0,0,0.0,1.15,2,13.618,1936.0,0.0,0.0,0.0,28.865,7,0.0,3.44,0,0.0,3.2,66,0,0.0,2,0.0,0.0,19.44,0,9,0,0.0,0.0,3,8.4,0,0.0,0.0,9,0.025784103,3.44,0.0,87,15.9994,2,5,3,2.17,92.88,0.2,0.0,0,0.0,6.212593103,1.52,217,0.142857143,16,16,0,0,5.426,3.44,46,14,0,0.0,2,0.0,0.571428571,1.46,1881.2,11,0.0,19.2,0.0,0.0,0,0.0,0,0.807458804,4.0,0.0,0,2,3.273268354,0.0,0.0,24.0,2.0,4,0.0,0.0,0.0,19.76,9.105,12,0.0,0.0,0.0,0.0,0.0,15.999,0.0,0.285714286,0.0,0.0,2,0,187,0,0.0,2.4,0.0,0,14,-3.122341867,0.0,5.433497186,0,369.1664956,0.0,2.4,0.0,0.0,0.0,0.0,0,1.27,2.628,158.9674,0,0.0,0.0022471,0.0,0.0,0.99,0.0,0.6,0,2.0,2,0,5,9,46.56,0.000694262,205,0.0,0.2,0,0.0,0.0,0.0,0.9744,5.28,1.55,False,1
AgGeO3,0.0,Matbench,2,0.0,1.960544336,0.383,2,54.8,0.0,0.0,1.2,0,0.0,0.0,1.93,0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,560.8152,0,1.51,65,0,0.0,47,0.0,0.0,0.0,0.0,35.642256,0,0.0,1.44,6,107.86,0.0,4.0,0,0.0,0.0,0.383,2.0,1.43,0.0,0.0,522.146,0.0,0.0,0.0,4,0.0,1.070769538,1.47,3.44,-2,0.0,AgGeO3,4,4,1.51,92.6,0.054891846,14.6,0.0,0.08,0.0,0.0,1,0.0,6,0,12,3.0,54.8,-282000.0,81.0,0.8,15.9994,0.0,0.0,6,66,0,39,0.32,87,8,8,0,0.0,39,1.302,97.2,0.0,0.0,0.0,0.0,5,0,0.0,0.0,5,45.70128,0.0,0,0,20.6,9.105,2.8,0.0,107.8682,0.0,0.056568542,0.0,0.0,2.852,14.6,0.0,79,3,0.209302326,45.70128,0.065003217,13.33,0.0,0.0,0,14,0.0,1,0.0,1.0,1,13.618,1234.93,0.0,0.0,0.0,23.005,3,0.0,3.44,0,0.0,3.0,66,0,0.0,2,0.0,0.0,7.2,1,0,0,0.0,0.0,4,8.6,0,0.0,0.0,4,0.05367389,3.12,0.0,87,15.9994,2,10,11,1.51,102.24,0.2,0.0,0,0.0,5.07,4.8,225,0.465116279,16,16,0,1,7.576,3.44,22,0,0,0.0,2,0.0,0.531746032,1.46,1180.13,8,0.0,15.12,0.0,0.0,0,0.0,0,0.857321175,2.2,0.0,0,2,3.380617019,0.0,0.0,20.6,1.8,4,0.0,0.0,0.2,13.9,9.105,12,0.0,0.0,0.0,0.0,0.0,15.999,0.0,0.325581395,0.0,0.0,4,0,145,0,0.2,2.8,0.0,0,0,-1.345559336,0.0,6.134559619,0,152.2296211,0.0766,0.72,0.0,0.0,0.2,0.0,0,1.93,2.852,91.8688,0,0.12256,0.0,0.0,0.32,0.93,0.0,0.6,0,1.8,2,0,10,0,31.92,0.0,213,0.0,0.0,0,0.0,0.0,0.0,0.7056,1.68,0.0,1,1
AgGeO3,0.0,Matbench,2,0.0,1.960544336,0.383,2,54.8,0.0,0.0,1.2,0,0.0,0.0,1.93,0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,560.8152,0,1.51,65,0,0.0,47,0.0,0.0,0.0,0.0,35.642256,0,0.0,1.44,6,107.86,0.0,4.0,0,0.0,0.0,0.383,2.0,1.43,0.0,0.0,522.146,0.0,0.0,0.0,4,0.0,1.095795139,1.47,3.44,-2,0.0,AgGeO3,4,4,1.51,92.6,0.054891846,14.6,0.0,0.08,0.0,0.0,1,0.0,6,0,12,3.0,54.8,-282000.0,81.0,0.8,15.9994,0.0,0.0,6,66,0,39,0.32,87,8,8,0,0.0,39,1.302,97.2,0.0,0.0,0.0,0.0,5,0,0.0,0.0,5,45.70128,0.0,0,0,20.6,9.105,2.8,0.0,107.8682,0.0,0.056568542,0.0,0.0,2.852,14.6,0.0,79,3,0.209302326,45.70128,0.065003217,13.33,0.0,0.0,0,14,0.0,1,0.0,1.0,1,13.618,1234.93,0.0,0.0,0.0,23.005,3,0.0,3.44,0,0.0,3.0,66,0,0.0,2,0.0,0.0,7.2,1,0,0,0.0,0.0,4,8.6,0,0.0,0.0,4,0.05367389,3.12,0.0,87,15.9994,2,10,11,1.51,102.24,0.2,0.0,0,0.0,5.07,4.8,225,0.465116279,16,16,0,1,7.576,3.44,22,0,0,0.0,2,0.0,0.531746032,1.46,1180.13,8,0.0,15.12,0.0,0.0,0,0.0,0,0.857321175,2.2,0.0,0,2,3.380617019,0.0,0.0,20.6,1.8,4,0.0,0.0,0.2,13.9,9.105,12,0.0,0.0,0.0,0.0,0.0,15.999,0.0,0.325581395,0.0,0.0,4,0,145,0,0.2,2.8,0.0,0,0,-1.322275313,0.0,6.134559619,0,113.7851435,0.0766,0.72,0.0,0.0,0.2,0.0,0,1.93,2.852,91.8688,0,0.12256,0.0,0.0,0.32,0.93,0.0,0.6,0,1.8,2,0,10,0,31.92,0.0,213,0.0,0.0,0,0.0,0.0,0.0,0.7056,1.68,0.0,1,1
AgGeO3,0.0,Matbench,2,0.0,1.964207314,0.383,2,54.8,0.0,0.0,1.2,0,0.0,0.0,1.93,0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,560.8152,0,1.51,65,0,0.0,47,0.0,0.0,0.0,0.0,35.642256,0,0.0,1.44,6,107.86,0.0,4.0,0,0.0,0.0,0.383,2.0,1.43,0.0,0.0,522.146,0.0,0.0,0.0,4,0.0,1.036258231,1.47,3.44,-2,0.0,AgGeO3,4,4,1.51,92.6,0.054891846,14.6,0.0,0.08,0.0,0.0,1,0.0,6,0,12,3.0,54.8,-282000.0,81.0,0.8,15.9994,0.0,0.0,6,66,0,39,0.32,87,8,8,0,0.0,39,1.302,97.2,0.0,0.0,0.0,0.0,5,0,0.0,0.0,5,45.70128,0.0,0,0,20.6,9.105,2.8,0.0,107.8682,0.0,0.056568542,0.0,0.0,2.852,14.6,0.0,79,3,0.209302326,45.70128,0.065003217,13.33,0.0,0.0,0,14,0.0,1,0.0,1.0,1,13.618,1234.93,0.0,0.0,0.0,23.005,3,0.0,3.44,0,0.0,3.0,66,0,0.0,2,0.0,0.0,7.2,1,0,0,0.0,0.0,4,8.6,0,0.0,0.0,4,0.05367389,3.12,0.0,87,15.9994,2,10,11,1.51,102.24,0.2,0.0,0,0.0,5.07,4.8,225,0.465116279,16,16,0,1,7.576,3.44,22,0,0,0.0,2,0.0,0.531746032,1.46,1180.13,8,0.0,15.12,0.0,0.0,0,0.0,0,0.857321175,2.2,0.0,0,2,3.380617019,0.0,0.0,20.6,1.8,4,0.0,0.0,0.2,13.9,9.105,12,0.0,0.0,0.0,0.0,0.0,15.999,0.0,0.325581395,0.0,0.0,4,0,145,0,0.2,2.8,0.0,0,0,-1.341382702,0.0,6.134559619,0,292.255886,0.0766,0.72,0.0,0.0,0.2,0.0,0,1.93,2.852,91.8688,0,0.12256,0.0,0.0,0.32,0.93,0.0,0.6,0,1.8,2,0,10,0,31.92,0.0,213,0.0,0.0,0,0.0,0.0,0.0,0.7056,1.68,0.0,1,1
AgGeO3,0.0,Matbench,2,0.0,1.968533807,0.383,2,54.8,0.0,0.0,1.2,0,0.0,0.0,1.93,0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,560.8152,0,1.51,65,0,0.0,47,0.0,0.0,0.0,0.0,35.642256,0,0.0,1.44,6,107.86,0.0,4.0,0,0.0,0.0,0.383,2.0,1.43,0.0,0.0,522.146,0.0,0.0,0.0,4,0.0,1.008634662,1.47,3.44,-2,0.0,AgGeO3,4,4,1.51,92.6,0.054891846,14.6,0.0,0.08,0.0,0.0,1,0.0,6,0,12,3.0,54.8,-282000.0,81.0,0.8,15.9994,0.0,0.0,6,66,0,39,0.32,87,8,8,0,0.0,39,1.302,97.2,0.0,0.0,0.0,0.0,5,0,0.0,0.0,5,45.70128,0.0,0,0,20.6,9.105,2.8,0.0,107.8682,0.0,0.056568542,0.0,0.0,2.852,14.6,0.0,79,3,0.209302326,45.70128,0.065003217,13.33,0.0,0.0,0,14,0.0,1,0.0,1.0,1,13.618,1234.93,0.0,0.0,0.0,23.005,3,0.0,3.44,0,0.0,3.0,66,0,0.0,2,0.0,0.0,7.2,1,0,0,0.0,0.0,4,8.6,0,0.0,0.0,4,0.05367389,3.12,0.0,87,15.9994,2,10,11,1.51,102.24,0.2,0.0,0,0.0,5.07,4.8,225,0.465116279,16,16,0,1,7.576,3.44,22,0,0,0.0,2,0.0,0.531746032,1.46,1180.13,8,0.0,15.12,0.0,0.0,0,0.0,0,0.857321175,2.2,0.0,0,2,3.380617019,0.0,0.0,20.6,1.8,4,0.0,0.0,0.2,13.9,9.105,12,0.0,0.0,0.0,0.0,0.0,15.999,0.0,0.325581395,0.0,0.0,4,0,145,0,0.2,2.8,0.0,0,0,-1.347726472,0.0,6.134559619,0,1210.698101,0.0766,0.72,0.0,0.0,0.2,0.0,0,1.93,2.852,91.8688,0,0.12256,0.0,0.0,0.32,0.93,0.0,0.6,0,1.8,2,0,10,0,31.92,0.0,213,0.0,0.0,0,0.0,0.0,0.0,0.7056,1.68,0.0,1,1
Ba2CoWO6,0.0,Matbench,2,0.202898551,6.350319969,0.0,2,54.8,0.0,0.0,1.68,0,0.0,0.0,0.89,0,0,0.0,0.15484712,0.0,0,1.1,1.4,0.0,869.256,0,2.55,9,0,0.0,74,0.0,0.0,0.0,0.0,54.8933843,0,0.0,1.92,8,137.327,0.0,1.1,0,0.0,2.52,0.0,1.2,1.08,0.0,0.0,779.18,0.0,0.2,0.0,2,0.0,1.067995352,1.935,3.44,-2,1.44,Ba2CoWO6,4,4,2.55,111.4,0.046830907,11.5,0.0,1.47,0.0,0.0,0,0.0,2,0,12,3.4,54.8,-282000.0,64.9,0.96,15.9994,0.0,0.0,6,66,0,66,0.0,87,8,8,0,0.0,66,0.1446,95.3,0.0,0.0,0.0,0.9,6,0,1.4,0.0,14,61.3423595,0.0,0,0,26.1,9.105,2.4,0.0,183.84,1.5484712,0.806994424,0.0,0.0,2.666,11.5,0.0,149,4,0.289855072,61.3423595,0.057651715,20.8105,0.0,0.0,0,20,0.0,0,0.0,1.55,2,13.618,3695.0,0.0,0.0,0.0,63.59,6,0.0,3.44,0,0.1,3.4,66,0,0.1,2,0.0,0.0,26.52,0,6,0,0.0,0.0,6,6.9,0,0.0,0.0,6,0.036261259,3.04,0.0,87,15.9994,2,7,2,2.55,99.96,0.2,0.0,0,0.0,17.1118,1.76,229,0.15942029,16,16,0,0,5.212,3.44,78,14,0,0.0,2,0.0,0.607142857,1.46,3640.2,18,0.0,21.72,0.0,0.0,0,0.0,0,0.960268468,2.1,0.0,0,2,3.523321317,0.0,0.0,26.1,2.0,4,0.0,0.0,0.0,54.485,9.105,12,0.0,0.0,0.0,0.0,0.0,15.999,0.0,0.347826087,0.0,0.0,2,0,215,0,0.0,2.4,0.0,0,14,-2.602443747,0.0,5.487490661,0,279.2544446,0.0,0.96,0.0,0.0,0.0,0.0,0,0.89,2.666,167.8406,0,0.0,1.5484712,0.0,0.0,1.06,0.0,0.6,0,2.0,2,0,7,6,54.48,0.278724816,217,0.0,0.0,0,0.0,0.0,0.0,0.9288,5.4,0.0,1,1
