Formula,E_g_Exp,Source,Priority
H6PbCI3N,1.488,PV600,1
CsPbBr3,2.333235294117647,PV600,1
CsPbI3,1.895,PV600,1
H5PbCI3N2,1.603,PV600,1
H6PbCBr3N,2.2425,PV600,1
Cs2LiCeCl6,2.5,OpenAlex_Crawler,2
Cs2InCuCl6,1.1,OpenAlex_Crawler,2
Cs2CuAsCl6,1.51,OpenAlex_Crawler,2
BaSiO3,0.082,OpenAlex_Crawler,2
MgZnO3,1.33,OpenAlex_Crawler,2
LuMnO3,1.55,OpenAlex_Crawler,2
Sr2LaNbO6,3.7,OpenAlex_Crawler,2
NiTeO3,3.582,OpenAlex_Crawler,2
Sr2NiIrO6,0.3,OpenAlex_Crawler,2
AgNO3,2.0,OpenAlex_Crawler,2
NaVF3,6.203,OpenAlex_Crawler,2
CsNiBr3,3.1,OpenAlex_Crawler,2
Ba2TlSbO6,0.3,OpenAlex_Crawler,2
Na2ScAgCl6,2.45,OpenAlex_Crawler,2
Ag3AsO4,0.0,Matbench,2
Ag3Pd,0.0,Matbench,2
RbGeI3,1.38,OpenAlex_Crawler,2
AlPd5I2,0.0,Matbench,2
Al2FeNi,0.0,Matbench,2
Al2Ru,0.0,Matbench,2
Al2S3,4.1,Matbench,2
Al2Se3,3.1,Matbench,2
Al3Tc,0.0,Matbench,2
Al4Cu2O7,0.0,Matbench,2
Al4Cu9,0.0,Matbench,2
Al5Rh2,0.0,Matbench,2
Al6Fe,0.0,Matbench,2
Al6Ru,0.0,Matbench,2
Al6Tc,0.0,Matbench,2
AsOsS,1.3,Matbench,2
AsP,0.23,Matbench,2
Al9Ir2,0.0,Matbench,2
Al0.5Ga0.5As1,2.12,Matbench,2
AsPRu,0.8,Matbench,2
AlAgS2,3.13,Matbench,2
AlAgSe2,2.55,Matbench,2
AlAgTe2,1.8,Matbench,2
AlAs,0.0,Matbench,2
AlB2,0.0,Matbench,2
AlBi,0.4,Matbench,2
AlCoO3,0.0,Matbench,2
AlCu3,0.0,Matbench,2
AlCu7O12,0.0,Matbench,2
AlCuS2,3.5,Matbench,2
AlCuTe2,2.06,Matbench,2
B2Se2O7,4.64,Matbench,2
B3H2Pb2O7.5,4.42,Matbench,2
AlIr,0.0,Matbench,2
Al2CrS4,0.0,Matbench,2
B4C,1.64,Matbench,2
AlSn,0.0,Matbench,2
AlV(TeO4)2,2.9,Matbench,2
AlVCo2,0.0,Matbench,2
As2Ir,1.0,Matbench,2
As2O3,4.0,Matbench,2
As2Os,0.9,Matbench,2
As2Rh,1.15,Matbench,2
As2Ru,0.8,Matbench,2
As2S5,2.48,Matbench,2
AsAu3,0.0,Matbench,2
AsBr3,2.6,Matbench,2
BPb7Br3O7,2.62,Matbench,2
BRh2,0.0,Matbench,2
AsPPd,0.45,Matbench,2
Al9Rh2,0.0,Matbench,2
BSe2Cl,0.0,Matbench,2
AsPd3Pb2,0.0,Matbench,2
AsRuS,1.2,Matbench,2
AsS,2.4,Matbench,2
AsS3,2.35,Matbench,2
AsSI,2.05,Matbench,2
AsSeBr,0.0,Matbench,2
AsSeI,1.76,Matbench,2
Au3S,0.0,Matbench,2
AuBrO2,0.0,Matbench,2
B2Mo(PbO2)6,2.9,Matbench,2
B2O3,4.89,Matbench,2
Ba(SnO2)4,0.0,Matbench,2
Ba(ZnAs)2,0.23,Matbench,2
B3Pb10Br3O13,3.25,Matbench,2
AlNi2,0.0,Matbench,2
Ba14Ir8(PdO11)3,0.0,Matbench,2
B4H2Pb6O13,3.24,Matbench,2
B4W,0.0,Matbench,2
B5Mo2,0.0,Matbench,2
B6As,1.51,Matbench,2
B6P,3.3,Matbench,2
BAs,1.45,Matbench,2
BH(PbO2)2,3.76,Matbench,2
BMo,0.0,Matbench,2
BP,4.2,Matbench,2
BPb2ClO3,3.99,Matbench,2
BPb6BrO7,2.84,Matbench,2
Ba2CoWO6,0.0,Matbench,2
Ba2Cu5F14,0.0,Matbench,2
BSb,2.6,Matbench,2
AsPPt,0.4,Matbench,2
Ba2DyGaSe5,2.35,Matbench,2
BTe2As,0.0,Matbench,2
Ba(AsPd)2,0.0,Matbench,2
Ba(AsRh)2,0.0,Matbench,2
Ba(BRh)2,0.0,Matbench,2
Ba(FeS2)2,0.0,Matbench,2
Ba(GaS2)2,4.13,Matbench,2
Ba(GaSe2)2,3.16,Matbench,2
Ba(InS2)2,3.06,Matbench,2
Ba(InSe2)2,2.63,Matbench,2
Ba(NiP2)2,0.0,Matbench,2
Ba(PdO2)2,0.0,Matbench,2
Ba2GaAsSe5,1.39,Matbench,2
