formula,GGA_Eg,pred_Eg,pred_Eg_std,predicted_non_metal,is_false_metal_rescued,formation_energy_per_atom,tolerance_factor,pb_fraction
AcAlO3,4.1024,5.025639999999982,1.0123140769543792,1,0,-3.699194277,0.92088325,0.0
AcBO3,0.8127,3.1473199999999957,1.815321629243698,1,0,-2.484567103,1.06701143,0.0
AcCrO3,2.0832,3.175760000000011,0.7889760594593489,1,0,-3.150948551,0.884322128,0.0
AcCuO3,0.0,0.0,,0,0,-2.432069745,0.918509839,0.0
AcFeO3,1.1671,2.0670099999999945,0.4242801078297207,1,0,-2.876249657,0.913799533,0.0
AcGaO3,2.8966,3.9678800000000076,1.3340374453515196,1,0,-3.072431159,0.882133212,0.0
AcMgO3,0.0,2.0400500000000004,1.0239439669728025,1,1,-3.017728702,0.906720657,0.0
AcMnO3,0.0,1.5175700000000008,0.7063826477908418,1,1,-2.982604869,0.899954085,0.0
AcNiO3,0.0,0.0,,0,0,-2.389306103,0.90913729,0.0
AcPdO3,0.0,1.8859199999999994,0.9391602917500306,1,1,-2.246628323,0.942809042,0.0
AcScO3,3.3847,3.9097999999999926,1.4987785560248712,1,0,-3.838230812,0.830726848,0.0
AcSiO3,0.0,2.02081,1.2276104406121693,1,1,-2.877799938,0.997392723,0.0
AcTiO3,0.0,1.7542100000000043,1.0178835031082885,1,1,-3.616900895,0.860825647,0.0
AcVO3,0.0,1.306600000000004,0.671011058031088,1,1,-3.146952939,0.873484847,0.0
AgAsO3,0.2921,2.6396400000000004,0.9340296946029075,1,0,-1.283287357,0.969420587,0.0
AgAuO3,0.2565,2.1607599999999993,0.9076319311262693,1,0,-0.36810298,0.915290504,0.0
AgBO3,0.0,0.0,,0,0,-1.512231383,0.910347054,0.0
AgBiO3,0.0,1.5512800000000042,0.8998681912369172,1,1,-1.034535065,0.834778839,0.0
AgBrO3,2.5145,2.9411200000000006,0.9960576015472205,1,0,-0.296269079,1.054457481,0.0
AgCO3,0.0,0.0,,0,0,-1.245729258,1.060660172,0.0
AgClO3,2.9272,2.9893000000000027,1.0089636812095861,1,0,-0.544142652,0.850994789,0.0
AgGeO3,0.0,0.0,,0,0,-1.347726472,0.857321175,0.0
AgIO3,2.4582,2.8725399999999985,0.9226373872762796,1,0,-0.724320082,0.767286082,0.0
AgNO3,1.8677,2.8473,0.9552206603712049,1,0,-0.769071031,1.178511302,0.0
AgPO3,2.0266,2.894500000000002,0.9913586384351522,1,0,-1.969739703,1.012990052,0.0
AgPS3,1.4351,2.217600000000013,0.24143123244518294,1,0,-0.558838616,0.952364539,0.0
AgPbO3,0.0,1.7805000000000046,0.6789432597794884,1,1,-0.856700494,0.760749365,0.2
AgPdO3,0.0,0.0,,0,0,-0.168024723,0.821156262,0.0
AgRuO3,0.0,1.9461100000000013,0.801687668546798,1,1,-1.005110314,0.917619487,0.0
AgSbO3,0.1186,2.502479999999999,0.8166993630461575,1,0,-1.438965269,0.901561146,0.0
AgSnO3,0.0,2.4040400000000024,0.9355593398603846,1,1,-1.364562354,0.791688932,0.0
AgTeO3,1.4215,2.5981800000000006,0.8801982092687982,1,0,-1.157658095,0.698156062,0.0
